ID,Gender,10percentage,10board,12graduation,12percentage,12board,CollegeID,CollegeTier,Degree,Specialization,collegeGPA,CollegeCityID,CollegeCityTier,CollegeState,GraduationYear,English,Logical,Quant,Domain,Salary,conscientiousness,openess_to_experience,openess_to_experience
471413,f,85,delhi board,2017,88,all india board,57,2,B.Tech/B.E.,information technology,85,57,0,Haryana,2021,495,445,605,0.765673581,864000,-1.9629,-0.4455,-0.4455
1088423,f,90,state board,2017,82.1,state board,2998,2,B.Tech/B.E.,computer science & engineering,85,2998,0,Telangana,2022,640,530,705,0.486747008,990000,0.99,0.8637,0.8637
1066680,m,86.4,cbse,2017,86.2,cbse,1906,2,B.Tech/B.E.,electronics and communication engineering,81.4,1906,1,West Bengal,2022,720,630,750,0.338786347,585000,1.2772,0.6721,0.6721
407672,m,84.13,0,2016,77,0,3801,2,B.Tech/B.E.,information technology,75.2,3801,0,Karnataka,2020,385,515,465,0.525922584,729000,0.1623,-0.1295,-0.1295
205633,m,81.7,hse,2013,75.8,chse,5508,2,B.Tech/B.E.,computer engineering,78.7,5508,0,Orissa,2019,475,245,485,0.735795709,900000,-1.3447,1.2923,1.2923
924541,f,86,cbse,2018,89,cbse,429,2,B.Tech/B.E.,computer science & engineering,73.9,429,0,Uttar Pradesh,2022,520,570,620,0.953899775,378000,1.2772,0.6721,0.6721
512353,m,66.15,state board,2017,54,state board,3603,2,B.Tech/B.E.,computer science & engineering,66,3603,0,Maharashtra,2021,360,495,280,0.793580615,720000,-0.1855,-1.3934,-1.3934
1136577,m,79.29,icse,2017,68.67,cbse,5298,2,B.Tech/B.E.,computer science & engineering,76,5298,0,Tamil Nadu,2021,545,505,595,0.356536488,648000,0.2718,1.4386,1.4386
781327,m,60,state board,2014,50,state board,11013,2,B.Tech/B.E.,computer science & engineering,69.94,11013,0,Orissa,2021,240,340,430,0.143256541,432000,-1.8825,-0.6692,-0.6692
764522,f,58.4,cbse,2016,64.8,cbse,85,2,MCA,computer application,80,85,0,Haryana,2022,440,415,554,0.793580615,216000,0.335,-0.1543,-0.1543
203323,m,61,0,2011,59,0,3716,2,B.Tech/B.E.,information technology,63,3716,1,Karnataka,2019,355,565,495,0.930370607,774000,-0.881,0.3444,0.3444
267354,m,50,board of school education harayana,2016,64,state board of technical education harayana,7564,2,B.Tech/B.E.,electronics and communication engineering,70,7564,0,Haryana,2019,345,365,445,0.538386893,216000,-0.4173,0.3444,0.3444
839626,f,67.06,state board,2016,70.67,state board,13271,2,B.Tech/B.E.,computer engineering,55.5,13271,1,Maharashtra,2020,440,440,385,0.144789889,216000,1.1336,0.2889,0.2889
1169332,f,67,cbse,2016,61,cbse,16664,2,B.Tech/B.E.,computer science & engineering,75,16664,0,Chhattisgarh,2020,370,410,320,0.488347977,216000,-0.159,-0.6692,-0.6692
669692,m,73,state board,2017,71,state board,9699,2,B.Tech/B.E.,information technology,61,9699,1,Rajasthan,2021,180,365,310,0.074546265,1080000,-2.0262,-2.5853,-2.5853
48029,m,86.17,rbse,2014,78.6,cbse,2857,1,B.Tech/B.E.,computer engineering,73.34,2857,1,Rajasthan,2018,505,495,695,0.987207086,900000,-1.4992,0.6603,0.6603
1268344,m,78,icse,2017,75,cbse,7765,2,B.Tech/B.E.,mechanical engineering,73,7765,0,Uttar Pradesh,2022,630,555,570,0.066960707,432000,1.7081,0.2889,0.2889
1274612,m,71.8,cbse,2015,68.2,cbse,267,2,B.Tech/B.E.,electronics and communication engineering,76.5,267,0,Punjab,2020,615,590,585,-1,360000,-0.159,-2.0105,-2.0105
230553,m,66.66,u p board,2013,80.4,u p board,64,2,B.Tech/B.E.,information technology,64.29,64,0,Uttar Pradesh,2019,525,505,575,0.901489571,144000,0.0464,-0.1295,-0.1295
1259836,m,85,state board,2017,81,state board,1906,2,B.Tech/B.E.,computer science & engineering,76.7,1906,1,West Bengal,2021,455,530,440,0.622642916,594000,1.7081,0.8637,0.8637
634352,f,83.6,cbse,2016,74,cbse,55,2,B.Tech/B.E.,information technology,71,55,0,Uttar Pradesh,2021,615,595,720,0.987207086,810000,-0.7335,0.2889,0.2889
977034,m,61.69,state board,2016,60.66,state board,285,1,MCA,computer application,77.5,285,0,Punjab,2022,440,605,520,0.356536488,432000,0.5591,-1.0524,-1.0524
668869,m,85,cbse,2017,82,cbse,6566,2,B.Tech/B.E.,electronics and communication engineering,81,6566,1,Karnataka,2021,730,525,690,0.694479328,585000,0.99,-1.0524,-1.0524
915600,m,80.13,state board,2016,69.17,state board,5696,2,B.Tech/B.E.,computer science and technology,60.34,5696,0,Maharashtra,2020,590,440,385,0.996744487,387000,-0.5899,-0.2859,-0.2859
628753,m,82.5,cbse,2017,85,state board,11352,2,B.Tech/B.E.,information technology,75,11352,1,Tamil Nadu,2021,545,485,530,0.600057182,567000,0.1282,0.6721,0.6721
1036215,m,63.5,state board,2018,65.72,state board,5081,2,B.Tech/B.E.,computer science & engineering,60,5081,0,Andhra Pradesh,2022,430,460,320,0.23780284,396000,0.5591,0.6721,0.6721
955352,m,64,cbse,2018,62,cbse,17244,2,B.Tech/B.E.,computer science & engineering,75,17244,0,Uttar Pradesh,2022,345,470,365,0.356536488,324000,-0.3027,-0.2859,-0.2859
449417,m,76,"bse, odisha",2013,61,chse,2088,2,MCA,computer application,85,2088,0,Orissa,2020,464,475,575,0.960903087,432000,-1.4992,-1.1169,-1.1169
1038837,m,73,cbse,2016,76,cbse,10930,2,B.Tech/B.E.,information technology,74,10930,1,West Bengal,2021,465,570,415,0.356536488,108000,-1.5953,-1.4356,-1.4356
309954,m,91,rajasthan board of secondary education,2016,83,rajasthan board of secondary education,5050,2,B.Tech/B.E.,computer engineering,71,5050,0,Rajasthan,2020,475,495,565,0.930370607,297000,1.1283,-0.4455,-0.4455
54289,m,65,cbse,2015,47.6,cbse,1753,2,MCA,computer application,63,1753,0,Karnataka,2021,415,365,475,0.600057182,324000,0.2009,0.3444,0.3444
615097,m,70.16,state board,2015,66.8,state board,272,2,MCA,computer application,69.7,272,0,Punjab,2022,275,485,530,0.486747008,270000,-0.4463,-0.0943,-0.0943
96613,m,74.6,cbse,2013,80.8,cbse,67,2,B.Tech/B.E.,electronics and communication engineering,72.45,67,0,Uttar Pradesh,2018,535,415,635,0.960603252,666000,0.8192,1.4502,1.4502
542950,m,66.5,state board,2016,66.4,state board,172,2,B.Tech/B.E.,electrical engineering,66,172,0,Uttar Pradesh,2021,500,560,560,0.376059587,261000,-0.5719,-0.4455,-0.4455
781196,m,78.4,cbse,2017,58.4,cbse,11013,2,B.Tech/B.E.,automobile/automotive engineering,76.5,11013,0,Orissa,2021,545,535,605,0.986525019,180000,-0.3027,0.8637,0.8637
38441,m,62,up board,2010,62,up board,395,2,MCA,computer application,72.02,395,0,Uttar Pradesh,2018,505,445,575,0.864685413,540000,0.0464,-1.2354,-1.2354
1269557,m,52.93,state board,2016,64,state board,4793,2,B.Tech/B.E.,information technology,73,4793,0,Maharashtra,2022,325,375,370,0.911395278,432000,0.2718,-0.4776,-0.4776
512864,m,82,council for indian school certificate examination,2016,81,council for indian school certificate examination,77,2,B.Tech/B.E.,electronics and electrical engineering,64,77,0,Uttar Pradesh,2020,625,585,530,0.376059587,900000,0.7419,-0.2875,-0.2875
390353,m,78,kea,2016,69,kea,3717,2,B.Tech/B.E.,electronics and communication engineering,75,3717,1,Karnataka,2020,355,485,425,0.0587928,540000,-0.2628,-0.169,-0.169
1230200,m,65,state board,2016,65.4,state board,1887,1,B.Tech/B.E.,computer science & engineering,67.72,1887,0,Uttar Pradesh,2022,490,615,725,0.744758354,540000,-0.3027,-1.6273,-1.6273
206976,m,70.2,0,2015,68.4,0,49,1,B.Tech/B.E.,electronics and electrical engineering,60.4,49,0,Uttar Pradesh,2019,544,415,504,0.0587928,918000,-0.5719,-0.2875,-0.2875
908780,f,93,state board,2018,89,state board,8895,2,B.Tech/B.E.,information technology,83,8895,0,Tamil Nadu,2022,345,495,325,0.622642916,270000,-0.7335,-0.8608,-0.8608
982729,m,53.4,cbse,2018,66,cbse,387,2,B.Tech/B.E.,information technology,60.62,387,0,Uttar Pradesh,2022,300,520,330,0.744758354,432000,-0.3027,-0.4776,-0.4776
385303,m,84.2,0,2016,78.6,0,100,2,B.Tech/B.E.,electronics and communication engineering,64.45,100,0,Haryana,2020,525,605,595,0.376059587,261000,-2.272,0.6603,0.6603
355322,m,71.5,uttar pradesh,2015,60,cbse,81,2,B.Tech/B.E.,computer science & engineering,68.74,81,0,Uttar Pradesh,2020,415,355,455,0.24545566,432000,0.51,-0.6035,-0.6035
730991,m,81.5,state board,2017,80.2,state board,11160,2,B.Tech/B.E.,computer science & engineering,82,11160,1,West Bengal,2021,430,510,415,0.3423149,558000,0.7027,0.2889,0.2889
326762,m,63,cbse,2016,66,cbse,3879,2,B.Tech/B.E.,computer engineering,65.55,3879,0,Madhya Pradesh,2020,435,465,465,0.704090412,810000,-3.6631,-1.2354,-1.2354
125654,m,74,"board of secondary education,andhara pradesh",2012,86.1,"board of intermediate education,hyderabad",3694,2,MCA,computer application,76,3694,0,Andhra Pradesh,2018,405,385,585,0.635978756,684000,-1.8083,0.3444,0.3444
984121,f,91.6,state board,2018,86.5,state board,2952,2,B.Tech/B.E.,electronics and communication engineering,80.2,2952,1,Karnataka,2022,465,510,570,0.783303537,540000,-0.159,0.0973,0.0973
744799,m,87.5,state board,2017,89.9,state board,13899,2,B.Tech/B.E.,computer engineering,73.21,13899,0,Andhra Pradesh,2021,500,415,485,0.704090412,540000,0.1282,-0.6692,-0.6692
1048133,m,78.5,state board,2017,83,state board,16171,2,B.Tech/B.E.,electronics and communication engineering,77.72,16171,0,Telangana,2021,350,470,405,0.20739217,360000,1.7081,0.6721,0.6721
1094787,m,79.5,state board,2017,63.2,state board,7814,2,B.Tech/B.E.,electronics and communication engineering,63.3,7814,0,Orissa,2022,615,425,440,0.493596387,306000,-0.3027,0.8637,0.8637
661812,f,71,wbbse,2017,68,wbchse,13040,2,B.Tech/B.E.,computer science & engineering,81.4,13040,1,West Bengal,2021,345,570,220,0.843123727,171000,0.2718,-0.6692,-0.6692
818701,m,66,state board,2014,61,state board,9508,2,B.Tech/B.E.,computer science & engineering,72.04,9508,0,Uttar Pradesh,2020,640,500,545,0.953899775,603000,0.5591,-0.8608,-0.8608
1063653,m,74,cbse,2017,63,cbse,14278,2,B.Tech/B.E.,computer science & engineering,72,14278,0,Haryana,2021,490,530,370,0.04099931,198000,-1.5953,-0.6692,-0.6692
189121,m,91,matriculation board,2015,90.91,hisher seconadry examination(state board),4042,2,B.Tech/B.E.,electronics and communication engineering,83.2,4042,0,Tamil Nadu,2019,565,515,575,0.229481755,810000,0.6646,0.3444,0.3444
640037,f,89.44,state board,2017,75.33,state board,4569,2,B.Tech/B.E.,computer science & engineering,68.69,4569,0,Karnataka,2021,500,425,385,0.704090412,360000,0.8463,0.0973,0.0973
906284,m,76,cbse,2018,64,cbse,10971,2,B.Tech/B.E.,computer science & engineering,67,10971,0,Uttar Pradesh,2022,555,450,470,0.486747008,558000,-1.1644,-0.6692,-0.6692
330544,m,77,state board,2016,75,state board,9837,2,B.Tech/B.E.,mechanical engineering,65.42,9837,1,Telangana,2020,425,415,375,0.068445751,360000,1.4374,0.4234,0.4234
643957,m,63,cbse,2017,74,cbse,462,2,B.Tech/B.E.,information science engineering,57,462,1,Karnataka,2021,545,500,455,0.600057182,432000,-1.4517,-1.6273,-1.6273
335906,f,90.33,board of secondary education - andhra pradesh,2016,88.6,"board fo intermediate education, ap",1141,2,B.Tech/B.E.,computer engineering,69.55,1141,0,Andhra Pradesh,2020,725,505,415,0.704090412,540000,0.51,0.8973,0.8973
657409,m,76.5,state board,2017,84,state board,11447,2,B.Tech/B.E.,mechanical engineering,87.2,11447,0,Tamil Nadu,2021,380,440,385,0.414337426,135000,-0.3027,-0.6692,-0.6692
271549,m,70,mp,2015,60,cbse,1618,2,B.Tech/B.E.,computer engineering,64.3,1618,0,Madhya Pradesh,2019,645,465,575,0.525922584,594000,-0.4173,0.1864,0.1864
964017,m,78,state board,2018,87.1,state board,1428,2,B.Tech/B.E.,information technology,65,1428,1,Telangana,2022,430,570,615,0.744758354,252000,-1.308,0.6721,0.6721
1066577,m,89.5,state board,2018,73.4,state board,1906,2,B.Tech/B.E.,computer science & engineering,70.06,1906,1,West Bengal,2022,700,505,585,0.486747008,576000,0.2718,-1.244,-1.244
87319,m,56.4,0,2014,72,0,403,2,B.Tech/B.E.,mechanical engineering,64,403,0,Madhya Pradesh,2018,305,395,455,0.654107475,2178000,0.2009,0.3444,0.3444
962441,m,88.67,state board,2017,87.69,state board,436,1,B.Tech/B.E.,chemical engineering,79.65,436,0,Uttarakhand,2022,545,645,735,0.879915203,1260000,-0.7335,0.6721,0.6721
335296,m,58.33,up,2015,73.33,up,198,2,B.Tech/B.E.,computer science & engineering,71.97,198,0,Uttar Pradesh,2020,395,325,585,0.744758354,216000,0.8192,0.6603,0.6603
833277,m,64,cbse,2017,66,cbse,382,2,B.Tech/B.E.,information technology,69.2,382,0,Uttar Pradesh,2022,465,390,355,0.356536488,360000,-0.0154,0.0973,0.0973
239756,m,85.92,karnataka,2015,79.87,karnataka state,1866,2,B.Tech/B.E.,computer engineering,71.07,1866,1,Karnataka,2019,495,565,454,0.968237496,567000,0.0464,0.9763,0.9763
555652,m,88.8,cbse,2017,84.67,state board,1866,2,B.Tech/B.E.,electronics and electrical engineering,70,1866,1,Karnataka,2021,675,605,620,0.985461394,549000,-0.0154,1.0554,1.0554
543832,m,73.8,cbse,2016,75.4,cbse,55,2,B.Tech/B.E.,electronics and communication engineering,68.56,55,0,Uttar Pradesh,2021,405,485,680,0.376059587,603000,-2.272,-0.4455,-0.4455
244546,m,71,cbse,2015,58,cbse,3427,2,B.Tech/B.E.,electronics and communication engineering,70.1,3427,0,Orissa,2019,525,465,645,0.538386893,738000,-1.9629,0.0284,0.0284
610635,f,81.4,cbse,2016,74,cbse,7700,1,B.Tech/B.E.,computer science & engineering,76.24,7700,1,Delhi,2021,485,525,620,0.953899775,360000,0.5591,1.247,1.247
1076441,m,88.1,state board,2017,91.1,state board,15854,2,B.Tech/B.E.,electronics and communication engineering,68.2,15854,1,Telangana,2021,535,435,500,0.20739217,567000,-0.159,0.6721,0.6721
754392,m,76,state board,2017,72,state board,8888,2,B.Tech/B.E.,computer science & engineering,63.2,8888,0,Tamil Nadu,2021,510,355,340,0.123016732,216000,-0.159,-0.4776,-0.4776
330813,f,82.3,ssc,2015,96.6,intermediate board,9557,2,B.Tech/B.E.,electronics and communication engineering,83,9557,1,Telangana,2020,445,565,615,0.694479328,558000,1.1283,0.8973,0.8973
1072316,m,78,cbse,2017,68,cbse,1388,1,B.Tech/B.E.,electronics and electrical engineering,72.3,1388,0,Haryana,2021,510,590,510,0.783303537,675000,0.8463,0.0973,0.0973
1242113,m,66.7,state board,2017,54.2,state board,6545,2,B.Tech/B.E.,instrumentation engineering,66.93,6545,0,Uttar Pradesh,2022,430,470,500,0.299597296,432000,0.2718,0.4805,0.4805
1084099,m,72,state board,2016,60,state board,8946,2,B.Tech/B.E.,computer science & engineering,63,8946,1,Telangana,2021,440,300,285,-1,531000,1.8517,0.4805,0.4805
435378,m,82,0,2016,62.3,0,11982,2,B.Tech/B.E.,mechanical engineering,61,11982,0,Orissa,2020,565,475,464,0.068445751,648000,-1.4992,-1.8278,-1.8278
108999,f,58.56,kseeb,2014,73,"directorate of technical education,banglore",1279,2,B.Tech/B.E.,electronics and communication engineering,61.8,1279,0,Karnataka,2018,445,465,565,0.376059587,468000,0.3555,0.5024,0.5024
982410,m,58,state board,2017,62,state board,184,2,B.Tech/B.E.,computer science & engineering,70.68,184,0,Uttar Pradesh,2022,405,395,390,0.486747008,324000,-0.7335,0.0973,0.0973
1251678,m,77,cbse,2015,78,cbse,6884,2,B.Tech/B.E.,computer science & engineering,75.03,6884,0,West Bengal,2021,500,545,665,0.842248322,180000,-1.4517,0.6721,0.6721
920550,f,75.6,cbse,2018,83.2,cbse,55,2,B.Tech/B.E.,computer science & engineering,71.1,55,0,Uttar Pradesh,2022,475,460,530,0.744758354,288000,1.2772,1.247,1.247
134985,m,75,wbbse,2010,61.7,wbchse,1424,2,MCA,computer application,79,1424,0,West Bengal,2018,365,365,425,0.377551419,558000,-0.4173,-0.1295,-0.1295
1062180,m,74,cbse,2017,66.8,cbse,13801,2,B.Tech/B.E.,electronics and communication engineering,68.9,13801,0,Madhya Pradesh,2021,535,505,510,0.338786347,144000,-0.5899,-2.5853,-2.5853
1219078,m,92.2,icse,2017,75.6,cbse,11154,2,B.Tech/B.E.,computer science & engineering,81.5,11154,1,West Bengal,2022,685,565,645,0.953899775,585000,1.4208,0.2889,0.2889
333542,f,84.5,ssc,2016,94.1,board of intermediate education,11168,2,B.Tech/B.E.,information technology,70.95,11168,1,Telangana,2020,485,445,575,0.413838256,720000,-0.4173,0.0284,0.0284
619605,m,89.4,cbse,2017,75.6,state board,275,2,B.Tech/B.E.,mechanical engineering,82.53,275,1,Karnataka,2021,590,610,635,0.840840969,855000,0.8463,0.4805,0.4805
921298,m,76.2,cbse,2018,88,state board,1577,2,B.Tech/B.E.,information technology,69.8,1577,0,Tamil Nadu,2022,450,510,620,0.744758354,324000,1.4208,1.6302,1.6302
343541,f,85.33,cbse,2016,78.2,cbse,11368,2,B.Tech/B.E.,electronics and communication engineering,77.25,11368,0,Uttar Pradesh,2020,605,404,454,0.824666401,450000,1.0896,0.1864,0.1864
1284293,m,72,cbse,2018,64,cbse,17782,2,MCA,computer application,72,17782,0,Uttarakhand,2023,490,410,485,0.450876584,270000,1.1336,-0.4776,-0.4776
53838,m,45.6,bse,2015,73.6,chse,1268,2,MCA,computer application,85.2,1268,0,Orissa,2018,365,385,454,0.765673581,180000,0.6646,-0.9194,-0.9194
1261333,m,86.5,state board,2018,82.5,state board,473,2,B.Tech/B.E.,information technology,61.86,473,1,Maharashtra,2022,490,395,485,0.911395278,540000,-0.0154,-1.8189,-1.8189
52923,m,75.83,ssc,2014,68.83,hsc,472,2,B.Tech/B.E.,information technology,55.6,472,1,Maharashtra,2018,525,575,655,0.901489571,837000,-2.8903,0.3444,0.3444
332800,m,69.4,up board,2015,63,up board,7600,2,B.Tech/B.E.,electronics and communication engineering,61,7600,0,Uttar Pradesh,2021,375,465,265,0.023312168,360000,-1.1901,-0.7615,-0.7615
1190691,m,64,cbse,2018,61,icse,18409,2,B.Tech/B.E.,computer science and technology,63,18409,0,Uttarakhand,2022,455,505,465,0.884122512,648000,-1.7389,-0.4776,-0.4776
196482,m,85,0,2014,73.8,0,115,2,B.Tech/B.E.,electronics and communication engineering,77,115,0,Punjab,2019,505,485,615,0.824666401,720000,-0.5719,1.1343,1.1343
110863,m,85.6,ssc,2014,90.6,board of intermediate,964,2,B.Tech/B.E.,electronics and communication engineering,68.4,964,1,Telangana,2018,395,425,575,0.229481755,1296000,0.8192,-0.2875,-0.2875
79007,m,80.6,icse,2013,91,icse,137,2,B.Tech/B.E.,information technology,73.06,137,0,Uttar Pradesh,2018,485,505,375,0.635978756,909000,0.51,0.9763,0.9763
263901,f,78,0,2015,68,0,2513,2,B.Tech/B.E.,computer engineering,68,2513,0,Rajasthan,2019,365,515,645,0.979521744,684000,-0.881,-0.1295,-0.1295
552730,f,69,cbse,2017,72.2,cbse,7542,2,B.Tech/B.E.,computer science & engineering,69.78,7542,1,Delhi,2021,370,500,455,0.704090412,675000,0.5591,0.6721,0.6721
111273,m,89.56,gseb,2014,85,gsheb,992,2,B.Tech/B.E.,electronics and communication engineering,67.45,992,1,Gujarat,2018,485,315,545,0.694479328,522000,-3.0448,0.1864,0.1864
604198,m,83.2,cbse,2016,72.3,cbse,28,2,B.Tech/B.E.,computer science & engineering,68,28,1,Delhi,2021,545,620,515,0.960903087,630000,0.4155,-0.0943,-0.0943
30122,m,51,up board,2012,48,up board,350,2,MCA,computer application,59,350,0,Uttar Pradesh,2018,275,365,395,0.525922584,180000,0.2009,0.0284,0.0284
920332,m,60.7,state board,2016,65.66,state board,55,2,MCA,computer application,77.7,55,0,Uttar Pradesh,2022,545,535,470,-1,414000,0.1282,0.4805,0.4805
282000,m,76,uttar pradesh board,2014,75,uttar pradesh board,4450,2,B.Tech/B.E.,information technology,65.48,4450,0,Uttar Pradesh,2019,375,535,575,0.600057182,567000,0.6646,0.3444,0.3444
1083018,m,91,cbse,2018,91.2,cbse,2921,2,B.Tech/B.E.,electronics and communication engineering,86,2921,0,West Bengal,2022,675,655,585,0.783303537,1107000,0.8463,-1.0524,-1.0524
1069526,m,90.6,state board,2017,79.3,state board,5752,2,B.Tech/B.E.,computer science & engineering,65.7,5752,1,Telangana,2021,430,350,475,0.622642916,360000,1.4208,1.247,1.247
810018,m,63,icse,2018,62,cbse,350,2,B.Tech/B.E.,information technology,62.44,350,0,Uttar Pradesh,2022,380,510,515,0.635978756,324000,-1.4517,-1.4356,-1.4356
1262987,m,63,state board,2018,63,state board,15807,2,B.Tech/B.E.,mechanical engineering,63,15807,1,Telangana,2022,300,435,390,0.032937018,468000,1.8517,-0.2859,-0.2859
53921,m,75.4,cbse,2012,68.2,cbse,83,2,B.Tech/B.E.,information technology,80,83,0,Uttar Pradesh,2018,555,535,655,0.916869961,1998000,1.2828,1.1343,1.1343
281866,m,81.8,cbse,2014,71.8,cbse,4450,2,B.Tech/B.E.,electronics and electrical engineering,64.5,4450,0,Uttar Pradesh,2019,415,525,625,0.824666401,306000,-1.8083,-0.1295,-0.1295
1098849,m,75.85,state board,2017,77.2,state board,992,2,B.Tech/B.E.,information technology,80,992,1,Gujarat,2021,525,530,520,0.979521744,324000,-0.159,1.0554,1.0554
827639,m,91.6,cbse,2018,85.6,cbse,47,1,B.Tech/B.E.,electronics and communication engineering,72.7,47,1,Delhi,2022,590,575,635,0.649389715,612000,1.1336,0.8637,0.8637
133296,m,66,rbse,2014,55,rbse,4948,2,B.Tech/B.E.,computer engineering,66,4948,1,Rajasthan,2018,405,585,415,0.600057182,261000,-1.0355,1.4502,1.4502
878844,m,50,cbse,2018,57,cbse,9738,2,B.Tech/B.E.,information technology,65.06,9738,0,Uttar Pradesh,2022,395,425,425,0.744758354,216000,0.4155,-0.4392,-0.4392
295362,f,89.2,matriculation,2015,86.25,state board,1034,2,B.Tech/B.E.,electronics and communication engineering,76,1034,0,Tamil Nadu,2019,465,595,575,0.376059587,324000,0.3555,0.1864,0.1864
811394,m,93.8,cbse,2017,76,cbse,47,1,B.Tech/B.E.,electronics and communication engineering,72.5,47,1,Delhi,2022,615,415,680,0.338786347,585000,1.5644,0.0973,0.0973
879261,m,76.66,state board,2012,64.33,state board,3496,2,B.Tech/B.E.,mechanical engineering,72.02,3496,0,Maharashtra,2020,615,525,430,0.328746379,171000,-0.5899,-0.8608,-0.8608
530147,m,90.4,cbse,2017,84.6,cbse,11759,2,B.Tech/B.E.,mechanical engineering,83.5,11759,0,Uttarakhand,2021,430,375,530,0.986525019,369000,-1.8083,-2.0253,-2.0253
815714,f,90.8,cbse,2017,82.6,cbse,5717,2,B.Tech/B.E.,computer science & engineering,64.66,5717,0,Maharashtra,2021,485,535,590,0.911395278,504000,0.99,1.6302,1.6302
1290109,m,82.67,state board,2016,74.92,state board,12737,2,B.Tech/B.E.,computer engineering,61.36,12737,1,Rajasthan,2022,580,470,425,0.911395278,387000,1.7081,0.6721,0.6721
729532,m,94.16,state board,2017,95.5,state board,11000,2,B.Tech/B.E.,electronics and communication engineering,83.62,11000,1,Telangana,2021,380,475,575,0.538386893,360000,0.8463,1.0554,1.0554
1058583,m,74.6,state board,2015,81.6,state board,3720,2,B.Tech/B.E.,computer science & engineering,67.8,3720,0,Madhya Pradesh,2019,440,425,415,0.356536488,630000,-0.159,0.2889,0.2889
390616,m,61.73,ssc,2016,60,hsc,7495,2,B.Tech/B.E.,computer engineering,63.33,7495,0,Maharashtra,2020,455,395,385,0.308400583,342000,-0.2628,-0.9194,-0.9194
283428,m,78,cbse,2015,63,cbse,374,2,B.Tech/B.E.,information technology,68.1,374,0,Uttar Pradesh,2019,454,535,464,0.765673581,936000,-1.0355,1.6082,1.6082
64844,m,74,karnataka secondary education board,2013,64,pre-university board,1109,2,B.Tech/B.E.,electronics and communication engineering,53,1109,1,Karnataka,2018,445,455,405,0.538386893,603000,1.1283,0.5024,0.5024
359993,m,72,state board,2015,60,state board,1245,2,B.Tech/B.E.,computer engineering,64,1245,1,Tamil Nadu,2020,345,375,315,0.3423149,396000,-1.1128,-2.6572,-2.6572
82837,m,85.6,cbse,2014,79.4,cbse,580,1,B.Tech/B.E.,electronics & instrumentation eng,67.23,580,0,Uttar Pradesh,2019,525,525,565,0.538386893,810000,-1.9629,-1.2354,-1.2354
239715,m,89.4,cbse,2014,68,cbse,1866,2,B.Tech/B.E.,electronics and communication engineering,68.3,1866,1,Karnataka,2019,635,525,525,0.694479328,801000,0.0464,0.5024,0.5024
831320,m,87.7,state board,2018,95.2,state board,9748,2,B.Tech/B.E.,information technology,69.96,9748,1,Telangana,2022,450,555,445,0.744758354,360000,-0.159,-0.6692,-0.6692
